;;Physical loss ;Physical disturbance;Changes to hydrological conditions;Inputs of continuous sounds;Inputs of impulsive sound;Inputs of electromag­netic and seismic waves;Input of heat ;Inputs of hazardous substances;Inputs of nitrogen;Inputs of phosphorus;Introduction of radionuclides;Oil slicks and spills;Disturbance of species;Extraction of herring;Extraction of cod;Extraction of sprat;Hunting of seabirds;Hunting of seals;Introduction of non-indigenous species
EC LAYER;EC CODE;PL_01;PL_02;PL_03;PL_04;PL_05;PL_06;PL_07;PL_08;PL_09;PL_10;PL_11;PL_12;PL_13;PL_14;PL_15;PL_16;PL_17;PL_18;PL_19
Productive surface waters;EC_01;0.4;1;0.6;0.6;0.6;0.4;1;1;1.5;1.5;0;1.4;0.8;1;1;1;0.5;0.5;1
Oxygenated deep waters;EC_02;0.9;0.7;1.3;0.5;0.6;0.5;0.6;0.9;1.8;1.8;0;1;0.2;0.7;0.7;0.7;0.3;0.3;0.7
Infralittoral hard bottom;EC_03;1.8;1.3;1.2;0.2;0.2;0.6;1.3;1;1.3;1.3;0.4;1.7;0.3;0.6;0.6;0.6;0.7;0.7;1.1
Infralittoral sand;EC_04;1.8;1.2;0.9;0.3;0.3;0.5;1;0.9;1.3;1.3;0.2;1.4;0.3;0.3;0.3;0.3;0.7;0.7;0.9
Infralittoral mud;EC_05;1.7;1.1;1.1;0.3;0.3;0.6;1;1;1.3;1.3;0.4;1.4;0.4;0.3;0.3;0.3;0.7;0.7;0.9
Infralittoral mixed;EC_06;1.8;1.2;1.1;0.3;0.3;0.6;1.1;1;1.3;1.3;0.3;1.5;0.3;0.4;0.4;0.4;0.7;0.7;1
Circalittoral hard bottom;EC_07;1.9;1.3;1.4;0.3;0.3;0.6;1.2;1.2;1.3;1.3;0.5;1.3;0.4;0.8;0.8;0.8;1;1;1.2
Circalittoral sand;EC_08;1.8;1.1;1.1;0.2;0.3;0.5;0.7;0.9;1.2;1.2;0.2;0.9;0.3;0.3;0.3;0.3;0.7;0.7;1
Circalittoral mud;EC_09;1.6;1;1.3;0.3;0.3;0.8;0.9;1;1.2;1.2;0.5;1.1;0.4;0.6;0.6;0.6;0.5;0.5;0.9
Circalittoral mixed;EC_10;1.8;1.1;1.3;0.3;0.3;0.6;0.9;1;1.2;1.2;0.4;1.1;0.4;0.6;0.6;0.6;0.7;0.7;1
