;;;;;;Filtration of nutrients;Storage of nutrients;Storage of hazardous substances;Erosion control;Nursery habitats;Pest control;Climate control by photosynthesis;Climate control by sequestration in sediments;Recreation through active interactions;Recreation through passive interactions
EC LAYER;EC CODE;EC group;EC group code;EC subgroup;GROUP BY;ES_FINU;ES_STNU;ES_STHZ;ES_CTER;ES_MHAB;ES_CNIS;ES_CCBI;ES_CCSE;ES_ENAC;ES_ENPA
Productive surface waters;EC_01;;;;;0;0;0;0;0;0;0;0;0;0
Oxygenated deep waters;EC_02;Benthic habitats;ECG_BH;Benthic landscapes;ECSG_BL;0;1;1;0;0;0;0;1;0;0
Infralittoral hard bottom;EC_03;Benthic habitats;ECG_BH;Benthic landscapes;ECSG_BL;1;1;1;1;1;0;1;0;1;1
Infralittoral sand;EC_04;Benthic habitats;ECG_BH;Benthic landscapes;ECSG_BL;0;1;1;0;1;0;1;0;1;1
Infralittoral mud;EC_05;Benthic habitats;ECG_BH;Benthic landscapes;ECSG_BL;0;1;1;0;1;0;1;1;0;0
Infralittoral mixed;EC_06;Benthic habitats;ECG_BH;Benthic landscapes;ECSG_BL;1;1;1;1;1;0;1;0;0;0
Circalittoral hard bottom;EC_07;Benthic habitats;ECG_BH;Benthic landscapes;ECSG_BL;1;1;1;0;0;0;0;0;0;0
Circalittoral sand;EC_08;Benthic habitats;ECG_BH;Benthic landscapes;ECSG_BL;0;1;1;0;0;0;0;0;0;0
Circalittoral mud;EC_09;Benthic habitats;ECG_BH;Benthic landscapes;ECSG_BL;0;1;1;0;0;0;0;1;0;0
Circalittoral mixed;EC_10;Benthic habitats;ECG_BH;Benthic landscapes;ECSG_BL;0;1;1;0;0;0;0;0;0;0
Furcellaria lumbricalis ;EC_11;Benthic habitats;ECG_BH;Habitatforming species;ECSG_HS;0;1;1;0;1;0;1;0;1;1
Zostera marina;EC_12;Benthic habitats;ECG_BH;Habitatforming species;ECSG_HS;0;1;1;1;1;0;1;1;1;1
Charophytes ;EC_13;Benthic habitats;ECG_BH;Habitatforming species;ECSG_HS;0;1;1;0;1;0;1;1;1;1
Mytilus edulis;EC_14;Benthic habitats;ECG_BH;Habitatforming species;ECSG_HS;1;1;1;0;1;0;0;0;1;1
Fucus sp;EC_15;Benthic habitats;ECG_BH;Habitatforming species;ECSG_HS;0;1;1;0;1;0;1;0;1;1
Sandbanks which are slightly covered by sea water at all time (1110);EC_16;Benthic habitats;ECG_BH;N2000;ECSG_N2;0;1;1;0;1;0;1;0;1;1
